Date,BCFF11,BBPO11,HGLG11,ITSA4,TRPL4,TAEE4,BBAS3,HSML11,Total,Valor Aplicado
2020-06-29,2446.2101135253906,2941.1998901367188,377.3999938964844,3421.940118789673,0.0,1799.280086517334,8627.519645690918,0.0,19613.54984855652,18934.25
2020-06-30,2446.2101135253906,2952.0,379.8800048828125,3318.14005279541,0.0,1793.609956741333,8294.700393676758,0.0,19184.540521621704,18934.25
2020-07-01,2446.2101135253906,2892.0599670410156,379.7799987792969,3387.3399868011475,0.0,1814.4000720977783,8532.059921264648,0.0,19451.850059509277,18934.25
2020-07-02,2446.2101135253906,2862.179901123047,380.0,3442.6999340057373,0.0,1793.609956741333,8555.279960632324,0.0,19479.979866027832,18934.25
2020-07-03,2446.2101135253906,2880.0,378.0,3449.620092391968,0.0,1799.280086517334,8643.0,0.0,19596.110292434692,18934.25
2020-07-06,2446.2101135253906,2882.159912109375,383.5400085449219,3584.559881210327,0.0,1810.6199855804443,8944.85952758789,0.0,20051.94942855835,18934.25
2020-07-07,2446.2101135253906,2880.0,393.0,3456.5399208068848,0.0,1793.609956741333,8586.239685058594,0.0,19555.599676132202,18934.25
2020-07-08,3077.4901428222656,2677.5,389.20001220703125,3518.820026397705,0.0,1812.5100288391113,8795.220039367676,0.0,20270.74024963379,19657.69
2020-07-09,3077.4901428222656,2548.980010986328,354.0,3529.1999340057373,0.0,1804.9500360488892,8761.679763793945,0.0,20076.299887657166,19657.69
2020-07-10,3077.4901428222656,2538.0,359.0,3539.5798416137695,0.0,1803.0599927902222,8808.119842529297,0.0,20125.249819755554,19657.69
2020-07-13,3077.4901428222656,2569.5,345.3999938964844,3473.8399868011475,0.0,1795.5,8720.399803161621,0.0,19982.12992668152,19657.69
2020-07-14,3077.4901428222656,2557.0799560546875,338.20001220703125,3515.35994720459,0.0,1791.719913482666,8862.299606323242,0.0,20142.149578094482,19657.69
2020-07-15,3077.4901428222656,2556.179901123047,338.29998779296875,3553.4201583862305,0.0,1793.609956741333,8950.019645690918,0.0,20269.019792556763,19657.69
2020-07-16,3077.4901428222656,2516.4000549316406,350.0,3511.8998680114746,0.0,1774.7100648880005,8875.200393676758,0.0,20105.70052433014,19657.69
2020-07-17,3077.4901428222656,2506.5,350.0,3553.4201583862305,0.0,1780.3800144195557,9148.679763793945,0.0,20416.470079421997,19657.69
2020-07-20,3077.4901428222656,2502.0,343.7799987792969,3605.320026397705,0.0,1787.9400072097778,9112.559921264648,0.0,20429.090096473694,19657.69
2020-07-21,3472.0401611328125,2493.179901123047,345.9800109863281,3639.9201583862305,0.0,1782.2700576782227,9156.420433044434,0.0,20889.810722351074,20097.14
2020-07-22,3472.0401611328125,2485.4400329589844,348.1000061035156,3639.9201583862305,0.0,1786.0499639511108,9081.600196838379,0.0,20813.150519371033,20097.14
2020-07-23,3472.0401611328125,2469.9600219726562,352.0,3588.0199604034424,0.0,1776.5999279022217,8862.299606323242,0.0,20520.919677734375,20097.14
2020-07-24,3472.0401611328125,2449.8001098632812,353.7200012207031,3615.6999340057373,0.0,1795.5,8759.100196838379,0.0,20445.860403060913,20097.14
2020-07-27,3472.0401611328125,2424.5999450683594,349.8800048828125,3812.9201583862305,0.0,1820.0700216293335,9006.779960632324,0.0,20886.290251731873,20097.14
2020-07-28,3472.0401611328125,2349.0,353.760009765625,3764.4800395965576,0.0,1835.1900072097778,9037.739685058594,0.0,20812.209902763367,20097.14
